Timestamp,total_particles,particles_remaining
2025-08-15T23:31:21.147389,8000,7986
2025-08-15T23:31:21.334612,8000,7986
2025-08-15T23:31:21.522147,8000,7986
2025-08-15T23:31:21.708954,8000,7986
2025-08-15T23:31:21.896105,8000,7986
2025-08-15T23:31:22.084011,8000,7986
2025-08-15T23:31:22.271396,8000,7986
2025-08-15T23:31:22.459084,8000,7986
2025-08-15T23:31:22.646523,8000,7986
2025-08-15T23:31:22.833490,8000,7986
2025-08-15T23:31:23.020912,8000,7986
2025-08-15T23:31:23.208097,8000,7986
2025-08-15T23:31:23.395441,8000,7986
2025-08-15T23:31:23.583297,8000,7986
2025-08-15T23:31:23.771313,8000,7986
2025-08-15T23:31:23.959187,8000,7986
2025-08-15T23:31:24.146185,8000,7986
2025-08-15T23:31:24.333446,8000,7986
2025-08-15T23:31:24.520414,8000,7986
2025-08-15T23:31:24.707571,8000,7986
2025-08-15T23:31:24.899144,8000,7986
2025-08-15T23:31:25.087288,8000,7986
2025-08-15T23:31:25.275005,8000,7986
2025-08-15T23:31:25.462048,8000,7986
2025-08-15T23:31:25.650072,8000,7986
2025-08-15T23:31:25.837502,8000,7986
2025-08-15T23:31:26.025326,8000,7986
2025-08-15T23:31:26.212460,8000,7986
2025-08-15T23:31:26.400550,8000,7986
2025-08-15T23:31:26.587967,8000,7986
2025-08-15T23:31:26.777874,8000,7986
2025-08-15T23:31:26.965344,8000,7986
2025-08-15T23:31:27.153108,8000,7986
2025-08-15T23:31:27.340048,8000,7986
2025-08-15T23:31:27.527625,8000,7986
2025-08-15T23:31:27.718119,8000,7986
2025-08-15T23:31:27.906722,8000,7986
2025-08-15T23:31:28.100101,8000,7986
2025-08-15T23:31:28.287130,8000,7986
2025-08-15T23:31:28.474594,8000,7986
2025-08-15T23:31:28.664156,8000,7986
2025-08-15T23:31:28.850989,8000,7986
2025-08-15T23:31:29.043051,8000,7986
2025-08-15T23:31:29.230135,8000,7986
2025-08-15T23:31:29.424865,8000,7986
2025-08-15T23:31:29.612332,8000,7986
2025-08-15T23:31:29.805597,8000,7986
2025-08-15T23:31:29.992536,8000,7986
2025-08-15T23:31:30.179984,8000,7986
2025-08-15T23:31:30.367890,8000,7986
2025-08-15T23:31:30.564399,8000,7986
2025-08-15T23:31:30.752611,8000,7986
2025-08-15T23:31:30.945174,8000,7986
2025-08-15T23:31:31.132102,8000,7986
2025-08-15T23:31:31.321156,8000,7986
2025-08-15T23:31:31.508487,8000,7986
2025-08-15T23:31:31.700761,8000,7986
2025-08-15T23:31:31.887786,8000,7986
2025-08-15T23:31:32.084745,8000,7986
2025-08-15T23:31:32.271518,8000,7986
2025-08-15T23:31:32.458758,8000,7986
2025-08-15T23:31:32.645865,8000,7986
2025-08-15T23:31:32.833014,8000,7986
2025-08-15T23:31:33.027005,8000,7986
2025-08-15T23:31:33.216517,8000,7986
2025-08-15T23:31:33.404298,8000,7986
2025-08-15T23:31:33.597474,8000,7986
2025-08-15T23:31:33.784561,8000,7986
2025-08-15T23:31:33.971842,8000,7986
2025-08-15T23:31:34.159962,8000,7986
2025-08-15T23:31:34.349855,8000,7986
2025-08-15T23:31:34.541887,8000,7986
2025-08-15T23:31:34.730820,8000,7986
2025-08-15T23:31:34.918919,8000,7986
2025-08-15T23:31:35.107015,8000,7986
2025-08-15T23:31:35.293989,8000,7986
2025-08-15T23:31:35.482031,8000,7986
2025-08-15T23:31:35.669055,8000,7986
2025-08-15T23:31:35.863294,8000,7986
2025-08-15T23:31:36.050328,8000,7986
2025-08-15T23:31:36.237152,8000,7986
2025-08-15T23:31:36.426183,8000,7986
2025-08-15T23:31:36.614174,8000,7986
2025-08-15T23:31:36.801319,8000,7986
2025-08-15T23:31:36.988706,8000,7986
2025-08-15T23:31:37.178691,8000,7986
2025-08-15T23:31:37.365702,8000,7986
2025-08-15T23:31:37.560994,8000,7986
2025-08-15T23:31:37.748440,8000,7986
2025-08-15T23:31:37.940914,8000,7986
2025-08-15T23:31:38.128319,8000,7986
2025-08-15T23:31:38.315243,8000,7986
2025-08-15T23:31:38.502824,8000,7986
2025-08-15T23:31:38.689543,8000,7986
2025-08-15T23:31:38.879434,8000,7986
2025-08-15T23:31:39.067190,8000,7986
2025-08-15T23:31:39.259102,8000,7986
