Timestamp,total_particles,particles_remaining
2025-08-15T23:34:03.626842,8000,8000
2025-08-15T23:34:03.814695,8000,8000
2025-08-15T23:34:04.002322,8000,7999
2025-08-15T23:34:04.189278,8000,7999
2025-08-15T23:34:04.380263,8000,7999
2025-08-15T23:34:04.567619,8000,7999
2025-08-15T23:34:04.760120,8000,7999
2025-08-15T23:34:04.947586,8000,7999
2025-08-15T23:34:05.142672,8000,7942
2025-08-15T23:34:05.330611,8000,7932
2025-08-15T23:34:05.518231,8000,7932
2025-08-15T23:34:05.705366,8000,7932
2025-08-15T23:34:05.892701,8000,7932
2025-08-15T23:34:06.079686,8000,7932
2025-08-15T23:34:06.266903,8000,7932
2025-08-15T23:34:06.453744,8000,7932
2025-08-15T23:34:06.640960,8000,7932
2025-08-15T23:34:06.827794,8000,7927
2025-08-15T23:34:07.015000,8000,7912
2025-08-15T23:34:07.202212,8000,7893
2025-08-15T23:34:07.391587,8000,7870
2025-08-15T23:34:07.581500,8000,7855
2025-08-15T23:34:07.768753,8000,7845
2025-08-15T23:34:07.957147,8000,7833
2025-08-15T23:34:08.144558,8000,7828
2025-08-15T23:34:08.332479,8000,7828
2025-08-15T23:34:08.520866,8000,7828
2025-08-15T23:34:08.707879,8000,7828
2025-08-15T23:34:08.894847,8000,7828
2025-08-15T23:34:09.081842,8000,7828
2025-08-15T23:34:09.269591,8000,7828
2025-08-15T23:34:09.456880,8000,7828
2025-08-15T23:34:09.644202,8000,7828
2025-08-15T23:34:09.832931,8000,7828
2025-08-15T23:34:10.020685,8000,7828
2025-08-15T23:34:10.207392,8000,7828
2025-08-15T23:34:10.396560,8000,7828
2025-08-15T23:34:10.589584,8000,7828
2025-08-15T23:34:10.776557,8000,7823
2025-08-15T23:34:10.964390,8000,7784
2025-08-15T23:34:11.151238,8000,7716
2025-08-15T23:34:11.338759,8000,7593
2025-08-15T23:34:11.527164,8000,7480
2025-08-15T23:34:11.714650,8000,7364
2025-08-15T23:34:11.902460,8000,7284
2025-08-15T23:34:12.091134,8000,7202
2025-08-15T23:34:12.279486,8000,7143
2025-08-15T23:34:12.467711,8000,7090
2025-08-15T23:34:12.656272,8000,7043
2025-08-15T23:34:12.844354,8000,7001
2025-08-15T23:34:13.034105,8000,6973
2025-08-15T23:34:13.222380,8000,6959
2025-08-15T23:34:13.410062,8000,6955
2025-08-15T23:34:13.597842,8000,6955
2025-08-15T23:34:13.786200,8000,6955
2025-08-15T23:34:13.975175,8000,6955
2025-08-15T23:34:14.162686,8000,6955
2025-08-15T23:34:14.350084,8000,6955
2025-08-15T23:34:14.539456,8000,6955
2025-08-15T23:34:14.727168,8000,6955
2025-08-15T23:34:14.914921,8000,6946
2025-08-15T23:34:15.103734,8000,6937
2025-08-15T23:34:15.291492,8000,6890
2025-08-15T23:34:15.481694,8000,6779
2025-08-15T23:34:15.668526,8000,6698
2025-08-15T23:34:15.855490,8000,6572
2025-08-15T23:34:16.042907,8000,6503
2025-08-15T23:34:16.229938,8000,6432
2025-08-15T23:34:16.423333,8000,6356
2025-08-15T23:34:16.610556,8000,6272
2025-08-15T23:34:16.797608,8000,6168
2025-08-15T23:34:16.984734,8000,6047
2025-08-15T23:34:17.171673,8000,5914
2025-08-15T23:34:17.359171,8000,5759
2025-08-15T23:34:17.546767,8000,5639
2025-08-15T23:34:17.734148,8000,5528
2025-08-15T23:34:17.921761,8000,5422
2025-08-15T23:34:18.109297,8000,5358
2025-08-15T23:34:18.296484,8000,5314
2025-08-15T23:34:18.483376,8000,5295
2025-08-15T23:34:18.670267,8000,5291
2025-08-15T23:34:18.858650,8000,5291
2025-08-15T23:34:19.045845,8000,5291
2025-08-15T23:34:19.233468,8000,5291
2025-08-15T23:34:19.420616,8000,5291
2025-08-15T23:34:19.608228,8000,5291
2025-08-15T23:34:19.795173,8000,5255
2025-08-15T23:34:19.982059,8000,5193
2025-08-15T23:34:20.168732,8000,5124
2025-08-15T23:34:20.356265,8000,5033
2025-08-15T23:34:20.543410,8000,4936
2025-08-15T23:34:20.730563,8000,4841
2025-08-15T23:34:20.922923,8000,4741
2025-08-15T23:34:21.109784,8000,4636
2025-08-15T23:34:21.297319,8000,4483
2025-08-15T23:34:21.484466,8000,4327
2025-08-15T23:34:21.671670,8000,4177
2025-08-15T23:34:21.858919,8000,4012
2025-08-15T23:34:22.046293,8000,3891
2025-08-15T23:34:22.233181,8000,3772
2025-08-15T23:34:22.420301,8000,3683
2025-08-15T23:34:22.607281,8000,3607
2025-08-15T23:34:22.794005,8000,3533
2025-08-15T23:34:22.982717,8000,3479
2025-08-15T23:34:23.169870,8000,3460
2025-08-15T23:34:23.357790,8000,3460
2025-08-15T23:34:23.546054,8000,3460
2025-08-15T23:34:23.734231,8000,3460
2025-08-15T23:34:23.921265,8000,3460
2025-08-15T23:34:24.108409,8000,3460
2025-08-15T23:34:24.295848,8000,3460
2025-08-15T23:34:24.483853,8000,3450
2025-08-15T23:34:24.672254,8000,3412
2025-08-15T23:34:24.862646,8000,3361
2025-08-15T23:34:25.050516,8000,3321
2025-08-15T23:34:25.237688,8000,3273
2025-08-15T23:34:25.424680,8000,3226
2025-08-15T23:34:25.612045,8000,3177
2025-08-15T23:34:25.799315,8000,3103
2025-08-15T23:34:25.986292,8000,3017
2025-08-15T23:34:26.173149,8000,2866
2025-08-15T23:34:26.360215,8000,2665
2025-08-15T23:34:26.547111,8000,2466
2025-08-15T23:34:26.734051,8000,2245
2025-08-15T23:34:26.921247,8000,2042
2025-08-15T23:34:27.108258,8000,1866
2025-08-15T23:34:27.295699,8000,1674
2025-08-15T23:34:27.482692,8000,1529
2025-08-15T23:34:27.669579,8000,1469
2025-08-15T23:34:27.856654,8000,1457
2025-08-15T23:34:28.044003,8000,1457
2025-08-15T23:34:28.230664,8000,1457
2025-08-15T23:34:28.417707,8000,1457
2025-08-15T23:34:28.605252,8000,1457
2025-08-15T23:34:28.791867,8000,1432
2025-08-15T23:34:28.980400,8000,1370
2025-08-15T23:34:29.167508,8000,1322
2025-08-15T23:34:29.358765,8000,1277
2025-08-15T23:34:29.546547,8000,1247
2025-08-15T23:34:29.733995,8000,1225
2025-08-15T23:34:29.921593,8000,1174
2025-08-15T23:34:30.109720,8000,1076
2025-08-15T23:34:30.297859,8000,1035
2025-08-15T23:34:30.485801,8000,1024
2025-08-15T23:34:30.672803,8000,1023
2025-08-15T23:34:30.860604,8000,1023
2025-08-15T23:34:31.049062,8000,1023
2025-08-15T23:34:31.236762,8000,1023
2025-08-15T23:34:31.424208,8000,1023
2025-08-15T23:34:31.612370,8000,1023
2025-08-15T23:34:31.799681,8000,1023
2025-08-15T23:34:31.988908,8000,1023
2025-08-15T23:34:32.176164,8000,1023
2025-08-15T23:34:32.363815,8000,1023
2025-08-15T23:34:32.551026,8000,1023
2025-08-15T23:34:32.738464,8000,1023
2025-08-15T23:34:32.925768,8000,1023
2025-08-15T23:34:33.113315,8000,1023
2025-08-15T23:34:33.301093,8000,1023
2025-08-15T23:34:33.489367,8000,1023
2025-08-15T23:34:33.676710,8000,1023
2025-08-15T23:34:33.864465,8000,1023
2025-08-15T23:34:34.053143,8000,1023
2025-08-15T23:34:34.241786,8000,1023
2025-08-15T23:34:34.428960,8000,1023
2025-08-15T23:34:34.615978,8000,1023
