Timestamp,total_particles,particles_remaining
2025-08-18T11:28:19.604243,8000,8000
2025-08-18T11:28:19.793222,8000,8000
2025-08-18T11:28:19.983549,8000,8000
2025-08-18T11:28:20.174886,8000,8000
2025-08-18T11:28:20.367233,8000,8000
2025-08-18T11:28:20.557734,8000,8000
2025-08-18T11:28:20.749053,8000,8000
2025-08-18T11:28:20.940009,8000,8000
2025-08-18T11:28:21.128531,8000,8000
2025-08-18T11:28:21.323369,8000,8000
2025-08-18T11:28:21.512418,8000,8000
2025-08-18T11:28:21.702687,8000,8000
2025-08-18T11:28:21.897695,8000,8000
2025-08-18T11:28:22.088415,8000,8000
2025-08-18T11:28:22.278814,8000,8000
2025-08-18T11:28:22.468775,8000,8000
2025-08-18T11:28:22.659874,8000,8000
2025-08-18T11:28:22.850174,8000,8000
2025-08-18T11:28:23.041069,8000,8000
2025-08-18T11:28:23.231043,8000,8000
2025-08-18T11:28:23.420886,8000,8000
2025-08-18T11:28:23.610058,8000,7986
2025-08-18T11:28:23.801810,8000,7924
2025-08-18T11:28:23.993398,8000,7820
2025-08-18T11:28:24.694567,8000,7220
2025-08-18T11:28:24.886375,8000,6976
2025-08-18T11:28:25.076564,8000,6737
2025-08-18T11:28:25.265315,8000,6610
2025-08-18T11:28:26.168704,8000,5357
2025-08-18T11:28:31.065898,8000,1989
2025-08-18T11:28:34.169012,8000,1136
2025-08-18T11:28:34.714799,8000,1075
2025-08-18T11:28:34.904531,8000,995
2025-08-18T11:28:35.707546,8000,712
2025-08-18T11:28:35.897790,8000,594
2025-08-18T11:28:36.243203,8000,425
2025-08-18T11:28:36.433574,8000,419
2025-08-18T11:28:36.624102,8000,413
2025-08-18T11:28:36.821293,8000,371
2025-08-18T11:28:37.012108,8000,307
2025-08-18T11:28:37.203199,8000,247
2025-08-18T11:28:37.450096,8000,210
2025-08-18T11:28:37.640952,8000,210
2025-08-18T11:28:37.832157,8000,210
2025-08-18T11:28:38.023673,8000,210
2025-08-18T11:28:38.215847,8000,210
2025-08-18T11:28:38.404755,8000,210
2025-08-18T11:28:38.595908,8000,210
2025-08-18T11:28:38.785441,8000,210
2025-08-18T11:28:39.379589,8000,210
2025-08-18T11:28:39.570299,8000,210
2025-08-18T11:28:39.760434,8000,208
2025-08-18T11:28:39.951035,8000,208
2025-08-18T11:28:40.142689,8000,208
2025-08-18T11:28:40.334445,8000,208
2025-08-18T11:28:40.525472,8000,208
2025-08-18T11:28:40.716329,8000,208
2025-08-18T11:28:40.907165,8000,208
2025-08-18T11:28:41.097780,8000,208
2025-08-18T11:28:41.287792,8000,208
2025-08-18T11:28:41.477900,8000,208
2025-08-18T11:28:41.668592,8000,208
2025-08-18T11:28:41.859048,8000,208
2025-08-18T11:28:42.050482,8000,208
2025-08-18T11:28:42.241842,8000,208
2025-08-18T11:28:42.433306,8000,208
2025-08-18T11:28:42.623988,8000,208
2025-08-18T11:28:42.814738,8000,208
2025-08-18T11:28:43.005176,8000,208
2025-08-18T11:28:43.195703,8000,208
2025-08-18T11:28:43.386625,8000,208
2025-08-18T11:28:43.576302,8000,208
2025-08-18T11:28:43.766016,8000,208
2025-08-18T11:28:43.956857,8000,208
2025-08-18T11:28:44.145722,8000,208
2025-08-18T11:28:44.335936,8000,208
2025-08-18T11:28:44.526312,8000,208
2025-08-18T11:28:44.716309,8000,208
2025-08-18T11:28:44.905524,8000,208
2025-08-18T11:28:45.095013,8000,208
2025-08-18T11:28:45.285675,8000,208
2025-08-18T11:28:45.477858,8000,208
2025-08-18T11:28:45.670234,8000,208
2025-08-18T11:28:45.862722,8000,208
2025-08-18T11:28:46.053353,8000,208
2025-08-18T11:28:46.243906,8000,208
2025-08-18T11:28:46.433763,8000,208
2025-08-18T11:28:46.623543,8000,208
2025-08-18T11:28:46.813830,8000,208
2025-08-18T11:28:47.004627,8000,208
2025-08-18T11:28:47.196846,8000,208
2025-08-18T11:28:47.387781,8000,208
2025-08-18T11:28:47.577824,8000,208
2025-08-18T11:28:47.769447,8000,208
2025-08-18T11:28:47.960376,8000,208
2025-08-18T11:28:48.151299,8000,208
2025-08-18T11:28:48.341802,8000,208
2025-08-18T11:28:48.532611,8000,208
2025-08-18T11:28:48.722993,8000,208
2025-08-18T11:28:48.913898,8000,208
2025-08-18T11:28:49.104165,8000,208
2025-08-18T11:28:49.294772,8000,208
2025-08-18T11:28:49.485534,8000,208
2025-08-18T11:28:49.676290,8000,208
2025-08-18T11:28:49.867401,8000,208
2025-08-18T11:28:50.059010,8000,208
2025-08-18T11:28:50.250003,8000,208
2025-08-18T11:28:50.440600,8000,208
