Timestamp,total_particles,particles_remaining
2025-09-04T13:16:50.879910,8000,8000
2025-09-04T13:16:51.065973,8000,8000
2025-09-04T13:16:51.252731,8000,8000
2025-09-04T13:16:51.439797,8000,8000
2025-09-04T13:16:51.625965,8000,8000
2025-09-04T13:16:51.812785,8000,8000
2025-09-04T13:16:51.999421,8000,8000
2025-09-04T13:16:52.185927,8000,8000
2025-09-04T13:16:52.372223,8000,8000
2025-09-04T13:16:52.558816,8000,7929
2025-09-04T13:16:52.745396,8000,7895
2025-09-04T13:16:52.931616,8000,7872
2025-09-04T13:16:53.117625,8000,7845
2025-09-04T13:16:53.303378,8000,7824
2025-09-04T13:16:53.489081,8000,7801
2025-09-04T13:16:53.675526,8000,7778
2025-09-04T13:16:53.861286,8000,7759
2025-09-04T13:16:54.047082,8000,7741
2025-09-04T13:16:54.232862,8000,7721
2025-09-04T13:16:54.419773,8000,7705
2025-09-04T13:16:54.605299,8000,7660
2025-09-04T13:16:54.790930,8000,7604
2025-09-04T13:16:54.984026,8000,7568
2025-09-04T13:16:55.169570,8000,7523
2025-09-04T13:16:55.355833,8000,7483
2025-09-04T13:16:55.541350,8000,7447
2025-09-04T13:16:55.727914,8000,7424
2025-09-04T13:16:55.965375,8000,7406
2025-09-04T13:16:56.150614,8000,7405
2025-09-04T13:16:56.336679,8000,7405
2025-09-04T13:16:56.540437,8000,7405
2025-09-04T13:16:56.725724,8000,7400
2025-09-04T13:16:56.911799,8000,7395
2025-09-04T13:16:57.097960,8000,7388
2025-09-04T13:16:57.283091,8000,7382
2025-09-04T13:16:57.468991,8000,7375
2025-09-04T13:16:57.655265,8000,7371
2025-09-04T13:16:57.840245,8000,7367
2025-09-04T13:16:58.026339,8000,7364
2025-09-04T13:16:58.211475,8000,7362
2025-09-04T13:16:58.397489,8000,7362
2025-09-04T13:16:58.582189,8000,7359
2025-09-04T13:16:58.768253,8000,7347
2025-09-04T13:16:58.953135,8000,7264
2025-09-04T13:16:59.138281,8000,7120
2025-09-04T13:16:59.323134,8000,7025
2025-09-04T13:16:59.507833,8000,6898
2025-09-04T13:16:59.692666,8000,6749
2025-09-04T13:16:59.877532,8000,6541
2025-09-04T13:17:00.062158,8000,6348
2025-09-04T13:17:00.247674,8000,6171
2025-09-04T13:17:00.432289,8000,5979
2025-09-04T13:17:00.616957,8000,5807
2025-09-04T13:17:00.801990,8000,5693
