apf: Distance = 4.395m, Time Taken = 18.04320s
apf: Distance = 4.857m, Time Taken = 23.02903s
apf: Distance = 4.828m, Time Taken = 21.30729s
apf: Distance = 5.484m, Time Taken = 17.61484s
apf: Distance = 4.427m, Time Taken = 16.98536s
apf: Distance = 3.379m, Time Taken = 15.68768s
apf: Distance = 4.817m, Time Taken = 16.61369s
apf: Distance = 3.677m, Time Taken = 15.70544s
apf: Distance = 4.779m, Time Taken = 17.25188s
apf: Distance = 4.815m, Time Taken = 17.32591s
sweep: Distance = 23.083m, Time Taken = 34.59244s
sweep: Distance = 20.902m, Time Taken = 31.49621s
sweep: Distance = 23.926m, Time Taken = 35.44727s
sweep: Distance = 22.427m, Time Taken = 32.84482s
sweep: Distance = 23.009m, Time Taken = 34.49108s
sweep: Distance = 20.029m, Time Taken = 29.99305s
sweep: Distance = 0.744m, Time Taken = 1.90223s
spiral_2: Distance = 18.650m, Time Taken = 31.15488s
spiral_2: Distance = 19.289m, Time Taken = 32.38557s
spiral_2: Distance = 19.093m, Time Taken = 31.97177s
spiral_2: Distance = 18.448m, Time Taken = 31.00722s
spiral_2: Distance = 22.827m, Time Taken = 36.41400s
spiral_2: Distance = 26.764m, Time Taken = 43.10450s
spiral_2: Distance = 23.686m, Time Taken = 38.29997s
spiral_2: Distance = 18.354m, Time Taken = 30.74201s
spiral_2: Distance = 18.873m, Time Taken = 31.71818s
spiral_2: Distance = 18.939m, Time Taken = 31.65055s
sweep: Distance = 20.052m, Time Taken = 29.78996s
sweep: Distance = 19.979m, Time Taken = 29.64361s
sweep: Distance = 0.000m, Time Taken = 0.00215s
sweep: Distance = 20.553m, Time Taken = 30.16294s
sweep: Distance = 23.879m, Time Taken = 35.33169s
apf: Distance = 31.936m, Time Taken = 52.83455s
sweep: Distance = 2.572m, Time Taken = 3.80643s
apf: Distance = 33.458m, Time Taken = 55.17863s
apf: Distance = 37.505m, Time Taken = 62.59003s
apf: Distance = 41.335m, Time Taken = 65.24002s
spiral_2: Distance = 63.122m, Time Taken = 85.75457s
aco: Distance = 6.933m, Time Taken = 32.64056s
mpc_no_apf: Distance = 14.016m, Time Taken = 69.36481s
centroid: Distance = 0.000m, Time Taken = 0.29829s
centroid: Distance = 0.000m, Time Taken = 0.00150s
mpc: Distance = 1.392m, Time Taken = 3.82118s
mpc: Distance = 12.477m, Time Taken = 31.26071s
spiral_2: Distance = 2.014m, Time Taken = 3.57547s
sweep: Distance = 13.069m, Time Taken = 20.18654s
sweep: Distance = 5.846m, Time Taken = 8.64159s
sweep: Distance = 42.287m, Time Taken = 57.87191s
sweep: Distance = 47.605m, Time Taken = 64.52855s
sweep: Distance = 50.474m, Time Taken = 68.36782s
nearest_neighbour: Distance = 39.394m, Time Taken = 56.56257s
nearest_neighbour: Distance = 35.641m, Time Taken = 50.27675s
mpc: Distance = 5.308m, Time Taken = 14.18764s
mpc: Distance = 19.237m, Time Taken = 91.36265s
mpc: Distance = 16.022m, Time Taken = 56.35962s
aco: Distance = 33.124m, Time Taken = 101.54378s
aco: Distance = 34.706m, Time Taken = 98.71612s
aco: Distance = 27.575m, Time Taken = 88.25989s
aco: Distance = 31.247m, Time Taken = 107.73451s
nearest_neighbour: Distance = 34.009m, Time Taken = 53.62535s
nearest_neighbour: Distance = 31.632m, Time Taken = 49.37463s
nearest_neighbour: Distance = 35.523m, Time Taken = 54.94599s
nearest_neighbour: Distance = 57.252m, Time Taken = 95.87189s
sweep: Distance = 49.500m, Time Taken = 69.40647s
sweep: Distance = 36.812m, Time Taken = 53.75585s
sweep: Distance = 1.118m, Time Taken = 2.22724s
sweep: Distance = 51.413m, Time Taken = 89.68189s
spiral_2: Distance = 42.263m, Time Taken = 63.39649s
spiral_2: Distance = 47.663m, Time Taken = 70.51198s
mpc: Distance = 18.104m, Time Taken = 63.64990s
mpc: Distance = 25.161m, Time Taken = 63.74597s
mpc: Distance = 22.035m, Time Taken = 70.24438s
mpc: Distance = 25.236m, Time Taken = 67.54423s
mpc_no_apf: Distance = 23.808m, Time Taken = 126.46734s
mpc_path: Distance = 16.311m, Time Taken = 53.15937s
spiral: Distance = 59.277m, Time Taken = 97.97305s
sweep: Distance = 78.192m, Time Taken = 107.83633s
mpc: Distance = 44.458m, Time Taken = 123.18447s
aco: Distance = 44.817m, Time Taken = 108.91360s
nearest_neighbour: Distance = 58.803m, Time Taken = 89.61585s
nearest_neighbour: Distance = 38.807m, Time Taken = 58.49668s
spiral_2: Distance = 47.115m, Time Taken = 70.72462s
nearest_neighbour: Distance = 49.949m, Time Taken = 72.52213s
aco: Distance = 45.288m, Time Taken = 114.63668s
centroid: Distance = 0.000m, Time Taken = 0.27286s
sweep: Distance = 71.050m, Time Taken = 108.10689s
mpc: Distance = 43.635m, Time Taken = 110.49903s
mpc: Distance = 47.115m, Time Taken = 124.45563s
sweep: Distance = 26.816m, Time Taken = 43.53081s
sweep: Distance = 26.567m, Time Taken = 40.19709s
sweep: Distance = 21.622m, Time Taken = 31.82125s
apf: Distance = 4.481m, Time Taken = 45.55618s
apf: Distance = 1.776m, Time Taken = 77.41850s
