Algorithm,Distance,Time,Distance90,Time90,Distance50,Time50
sweep,39.691,55.68891,28.374,39.76978,15.044,22.30457
sweep,48.247,74.07549,40.146,53.14186,16.144,21.48843
nearest_neighbour,50.299,82.48871,23.707,39.97253,9.891,18.96663
aco,31.902,96.11652,21.203,65.42876,9.772,34.20331
spiral_2,49.312,75.69859,27.156,39.61950,16.518,24.29672
mpc,30.601,81.61533,22.531,62.15580,8.370,28.76103
mpc_no_apf,30.759,95.82352,21.599,74.56268,6.552,33.82854
nearest_neighbour,33.355,58.23536,18.889,32.89484,9.525,18.13162
aco,32.262,89.46150,21.576,62.86566,10.594,31.61868
spiral_2,38.797,59.31978,22.668,33.56109,11.834,17.77055
mpc,25.206,70.42110,17.261,52.64232,7.406,26.38005
mpc_no_apf,27.345,82.52689,17.004,58.52171,5.377,26.49688
nearest_neighbour,39.576,65.12504,23.699,39.13950,13.604,23.39034
aco,30.045,90.84462,20.422,65.35315,8.800,32.78177
sweep,45.599,65.95383,32.512,46.73508,14.704,21.39269
spiral_2,43.959,66.68088,28.504,42.25424,14.741,22.09443
mpc,27.856,79.63890,21.330,65.39301,8.059,31.85026
mpc_no_apf,27.207,84.98240,22.008,73.04918,6.276,30.60009
nearest_neighbour,46.669,77.58750,28.267,46.11336,12.203,22.38674
aco,30.836,87.16416,21.625,73.47392,9.019,33.63690
sweep,46.484,65.65711,34.325,48.96699,17.648,25.06756
spiral_2,44.558,67.27933,29.258,43.10834,15.883,23.50974
mpc,34.113,93.86924,20.500,61.10863,8.142,27.61761
mpc_no_apf,27.218,89.69744,23.610,79.69730,7.282,31.81070
aco,34.697,96.77767,22.871,76.00180,9.529,34.42878
nearest_neighbour,42.965,70.06123,28.497,47.58042,14.540,25.59537
sweep,47.903,69.66178,35.152,51.41708,18.293,27.17578
spiral_2,48.021,74.19880,29.398,43.47062,16.343,24.27322
mpc,31.848,88.84782,23.357,67.26486,7.590,29.46415
mpc_no_apf,29.754,86.08880,17.781,58.50982,5.504,26.23214
sweep,38.056,54.69014,28.022,39.23358,14.655,20.73680
spiral_2,51.555,78.55825,34.299,51.07177,22.078,32.10242
spiral_2,47.355,73.37165,29.775,44.98597,16.361,25.13699
sweep,41.656,57.82145,28.541,39.24557,14.546,20.20545
nearest_neighbour,35.505,53.97650,19.572,32.42942,8.518,15.42099
aco,33.317,110.57949,20.642,66.98270,9.947,34.35913
aco,34.265,116.00479,23.113,70.52739,9.907,34.72516
aco,39.747,117.04847,24.849,79.44217,9.761,36.18328
aco,35.353,94.32409,22.879,65.70507,10.612,37.20906
aco,34.276,87.04126,23.031,64.04034,9.538,34.21902
aco,36.185,98.79925,28.083,79.70011,11.116,42.36158
aco,43.415,141.23792,29.499,106.55694,14.112,57.63515
sweep,32.461,46.89791,25.905,37.73637,19.126,27.53511
spiral_2,46.196,68.54776,37.375,54.72025,16.248,22.84111
