Algorithm,Distance,Time,Distance90,Time90,Distance50,Time50
nearest_neighbour,54.934,88.37726,41.276,68.00839,18.648,32.62087
nearest_neighbour,46.592,77.17902,31.680,52.21069,15.161,26.76101
aco,44.264,130.95060,33.252,94.47641,10.769,38.28623
sweep,34.836,51.97314,25.402,37.85588,13.891,22.19405
spiral_2,51.972,77.34221,32.610,47.54371,21.552,31.96117
mpc,32.966,74.92780,17.636,43.57346,8.705,22.91220
mpc_no_apf,29.406,79.94864,17.870,52.24364,8.710,27.02887
nearest_neighbour,39.357,60.99346,29.948,46.55279,11.467,19.53777
aco,37.541,105.21655,29.937,77.87740,9.015,34.98970
sweep,37.622,54.77808,21.874,32.39306,11.566,17.91726
spiral_2,58.994,89.02734,41.732,63.39964,17.652,27.92605
mpc,35.442,80.96836,21.948,52.07940,10.947,28.32991
mpc_no_apf,25.035,72.16204,13.457,42.95308,8.745,28.88533
nearest_neighbour,47.656,74.11308,33.893,52.00770,9.921,17.33191
aco,35.086,101.97063,26.550,79.10918,14.467,40.90502
sweep,33.502,47.71684,27.516,39.11762,14.473,20.83723
spiral_2,53.687,79.98128,34.885,52.05143,20.247,31.06587
mpc,29.137,72.70541,22.334,57.60930,8.582,23.91022
mpc_no_apf,27.003,78.90894,19.652,61.26676,12.378,39.16669
nearest_neighbour,41.601,65.50157,31.740,50.63696,14.566,24.77629
aco,42.347,119.57562,28.961,75.32544,11.934,37.40885
sweep,31.045,45.71821,23.849,34.25728,14.797,21.17135
spiral_2,50.726,74.40139,33.778,49.17184,19.799,29.17591
mpc,25.323,61.74971,15.121,38.32874,9.384,24.43054
mpc_no_apf,27.208,72.10059,14.523,42.51042,9.621,28.12159
nearest_neighbour,40.318,63.17190,33.123,52.26978,12.789,22.32954
aco,38.707,101.53416,24.436,69.41137,11.347,33.83239
sweep,33.108,51.02875,25.759,37.41253,14.406,21.67249
spiral_2,53.475,77.50577,35.278,51.09250,20.038,30.29628
mpc,30.419,76.24832,24.838,64.09559,16.491,45.04783
mpc_no_apf,20.221,60.38252,14.313,46.45361,9.014,26.44375
