Algorithm,Distance,Time,Distance90,Time90,Distance50,Time50
nearest_neighbour,70.647,101.94845,36.043,56.53526,12.778,23.02593
aco,63.170,159.63936,35.870,94.71058,13.398,40.37644
aco,43.135,116.09415,28.599,86.27620,11.653,38.40583
sweep,52.269,74.21515,37.662,53.12458,16.798,23.39703
spiral_2,66.906,98.63477,53.675,78.51097,11.843,20.64349
mpc,46.467,115.07931,31.809,84.56652,12.501,43.95738
mpc_no_apf,44.434,130.65378,32.082,101.41783,12.286,52.39166
nearest_neighbour,45.086,66.72955,30.013,47.08630,10.318,19.20839
aco,50.213,142.64073,28.599,84.47469,11.727,38.52627
sweep,54.412,104.77722,36.960,80.14001,14.980,22.86184
sweep,50.962,77.02843,34.598,50.37931,14.518,22.17524
spiral_2,82.694,119.87132,60.190,89.03775,19.937,30.81658
mpc,63.531,184.90502,45.741,149.31366,29.974,115.89913
mpc_no_apf,40.147,124.27858,32.748,105.01692,14.143,50.02023
nearest_neighbour,47.785,72.68567,27.328,43.67449,10.903,19.94205
aco,42.334,109.42800,24.692,70.93769,10.404,37.05540
sweep,69.773,100.85869,59.446,79.60046,16.422,22.42138
spiral_2,2.942,22.42437,0.000,22.42367,16.422,22.42138
spiral_2,63.322,92.85415,41.734,62.29331,11.602,20.48340
mpc,40.625,106.02090,29.120,84.63057,14.684,53.01176
mpc_no_apf,3.679,53.12536,0.000,53.12451,14.684,53.01176
mpc_no_apf,73.285,292.07777,56.611,253.12705,34.153,193.35510
nearest_neighbour,60.772,63.96687,27.430,43.70535,10.547,19.42112
sweep,80.039,95.43725,55.884,72.61285,20.218,27.45074
nearest_neighbour,47.122,75.40271,28.298,47.13917,12.737,23.44082
aco,37.676,101.03323,35.846,93.21985,20.588,51.65636
aco,38.408,106.26288,33.938,89.53325,19.745,51.29332
nearest_neighbour,45.447,67.66348,26.856,42.90680,10.067,18.77673
aco,41.997,111.46050,24.033,73.45013,10.578,37.33100
aco,39.922,97.82130,26.315,74.70892,11.487,36.69808
sweep,76.972,105.19683,55.452,76.34533,14.943,20.57575
sweep,52.664,74.96478,46.137,64.60961,20.452,27.89520
spiral_2,57.710,83.50211,42.170,62.03869,16.040,27.22203
spiral_2,49.177,77.68620,41.138,65.30564,12.080,19.98441
spiral_2,56.534,89.27683,36.200,56.41947,11.884,18.85335
mpc,61.601,164.31820,44.168,128.65736,21.915,80.59770
nearest_neighbour,53.098,83.48363,39.930,64.27984,13.437,24.72247
aco,39.174,121.26983,31.248,87.59704,12.348,39.03633
sweep,44.592,65.37166,36.789,53.92906,15.371,21.53926
mpc,66.550,221.34938,52.015,190.81353,32.379,144.84317
mpc_no_apf,41.136,132.53305,32.810,114.04778,11.656,58.29791
mpc_no_apf,42.053,169.09844,33.077,147.75939,17.600,106.85969
mpc_no_apf,37.108,108.85104,33.884,100.76645,12.647,48.63699
mpc,54.748,138.66067,45.195,119.16016,15.818,50.01922
nearest_neighbour,42.568,67.92163,33.597,54.63095,11.027,21.38975
aco,47.206,137.38987,31.722,90.21715,11.154,37.90601
sweep,47.087,67.06531,40.981,58.09773,16.974,23.45822
spiral_2,49.168,76.67381,39.094,61.17133,11.439,18.28532
mpc_no_apf,44.372,144.78390,35.867,125.72766,15.382,70.82841
mpc,52.826,150.46488,51.100,147.27866,23.882,87.05025
nearest_neighbour,33.072,53.81612,51.100,147.27866,15.318,26.72913
nearest_neighbour,35.303,59.73210,32.430,56.07789,11.691,22.49170
nearest_neighbour,33.974,56.22758,27.596,47.25479,11.100,21.92802
aco,38.973,117.28611,30.145,104.01358,13.752,40.07394
sweep,49.027,72.44090,47.786,70.31108,16.027,24.61254
spiral_2,50.217,83.32948,42.739,72.30474,11.759,21.35746
mpc,54.236,128.26390,32.372,81.80440,11.256,33.54695
mpc_no_apf,38.150,111.39963,34.576,101.96114,13.699,50.91790
